Date,Status,Users,UUIDs,Link,Ticket Number,Legundo Mentioned
"Aug 17, 2020 5:41 PM",Accepted,"['Dominion Tickets#4843', 'BobTheSnob_#8659', 'ItsWilven#0001', 'Lord_Bones#1337', 'mtnbrkprzn#4025']","['489068970494918656', '557628352828014614', '143323590970966016', '165160335903424512', '257582185932914688']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/745290656238403625/transcript-pending-0079.html,0079,False
"Aug 18, 2020 6:28 PM",Withdrawn,"['Xcerty#1132', 'Travis Sedai#9377', 'Dominion Tickets#4843']","['444659488868270080', '383372912054370309', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/745473904234987570/transcript-pending-0080.html,0080,False
"Aug 20, 2020 8:31 PM",Withdrawn,"['sasquatchboy (Jeromy)#9054', 'Xcerty#1132', 'Dominion Tickets#4843']","['383372912054370309', '556912357930958861', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/746121089519845376/transcript-claimed-0081.html,0081,False
"Aug 21, 2020 2:25 AM",Withdrawn,['Dominion Tickets#4843'],['557628352828014614'],https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/746193256894824559/transcript-open-0082.html,0082,False
"Aug 22, 2020 7:28 PM",Withdrawn,"['Cinas#3072', 'BobTheSnob_#8659', 'Dominion Tickets#4843']","['230410553590284288', '257582185932914688', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/746822366386192404/transcript-pending-0083.html,0083,False
"Aug 22, 2020 10:57 PM",Withdrawn,"['TheBudderBomb#9669', 'Xcerty#1132', 'Dominion Tickets#4843']","['192105818970259456', '383372912054370309', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/746867498887938048/transcript-open-0089.html,0089,False
"Aug 22, 2020 9:41 PM",Withdrawn,"['Xcerty#1132', 'louuiss#3477', 'kevcai#8037', 'Dominion Tickets#4843']","['466933907485491222', '495557451685298187', '383372912054370309', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/746872029952868362/transcript-claimed-0085.html,0085,False
"Aug 22, 2020 11:24 PM",Withdrawn,"['drhowieh#3206', 'Xcerty#1132', 'Dominion Tickets#4843']","['315309075606798336', '383372912054370309', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/746884295628554310/transcript-pending-0090.html,0090,False
"Aug 22, 2020 11:37 PM",Withdrawn,"['liv🦋🦋#8691', 'Xcerty#1132', 'Dominion Tickets#4843']","['383372912054370309', '698271752748269609', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/746884326364545065/transcript-pending-0091.html,0091,False
"Aug 22, 2020 9:54 PM",Withdrawn,"['Chubbsffs#5533', 'bepbep_beaches#6020', 'Dominion Tickets#4843']","['279449135957147649', '321916394327506945', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/746884520825061496/transcript-pending-0087.html,0087,False
